number,base,category,dry_run_action,title,url,reason
1861,main,SECURITY,EXCLUDE,Fix pip-audit invocation in run_tests security gate,https://github.com/niluferbagevi-gif/Sidar/pull/1861,Security-sensitive change; mandatory human security review.
1863,main,CLOSE_CANDIDATE,WOULD_CLOSE,Relax pydantic-settings constraint to resolve uv lock dependency conflict,https://github.com/niluferbagevi-gif/Sidar/pull/1863,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1864,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix(uv): restrict lock resolution to Linux targets,https://github.com/niluferbagevi-gif/Sidar/pull/1864,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1865,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix installer dependency resolution failure in uv lock,https://github.com/niluferbagevi-gif/Sidar/pull/1865,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1866,main,CLOSE_CANDIDATE,WOULD_CLOSE,Relax dependency constraints for resolver compatibility,https://github.com/niluferbagevi-gif/Sidar/pull/1866,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1869,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix mypy error for LoRA trainable parameter logging,https://github.com/niluferbagevi-gif/Sidar/pull/1869,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1871,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix mypy override errors in CoderAgent and ReviewerAgent run_task signatures,https://github.com/niluferbagevi-gif/Sidar/pull/1871,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1873,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix async agent instance mock in root web server tests,https://github.com/niluferbagevi-gif/Sidar/pull/1873,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1887,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix uv lock dependency conflicts in all extras,https://github.com/niluferbagevi-gif/Sidar/pull/1887,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1913,main,CLOSE_CANDIDATE,WOULD_CLOSE,Ignore benchmark artifacts by adding .benchmarks/ to .gitignore,https://github.com/niluferbagevi-gif/Sidar/pull/1913,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1914,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add user-confirmed GitHub upload step to installer,https://github.com/niluferbagevi-gif/Sidar/pull/1914,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1919,main,CLOSE_CANDIDATE,WOULD_CLOSE,docs: add pytest startup troubleshooting to README,https://github.com/niluferbagevi-gif/Sidar/pull/1919,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1921,main,SECURITY,EXCLUDE,Fix token-authenticated push by resolving origin URL after remote setup,https://github.com/niluferbagevi-gif/Sidar/pull/1921,Security-sensitive change; mandatory human security review.
1922,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve github_upload 403 auth error guidance,https://github.com/niluferbagevi-gif/Sidar/pull/1922,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1924,main,CLOSE_CANDIDATE,WOULD_CLOSE,feat: VS Code otonom test başlatıcı ve venv otomatik aktivasyon,https://github.com/niluferbagevi-gif/Sidar/pull/1924,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1925,main,CLOSE_CANDIDATE,WOULD_CLOSE,Remove optional GitHub upload step from installer flow,https://github.com/niluferbagevi-gif/Sidar/pull/1925,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1926,main,CLOSE_CANDIDATE,WOULD_CLOSE,VS Code otonom görevine github_upload adımı eklendi,https://github.com/niluferbagevi-gif/Sidar/pull/1926,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1927,main,CLOSE_CANDIDATE,WOULD_CLOSE,Run GitHub upload in VS Code tasks before tests,https://github.com/niluferbagevi-gif/Sidar/pull/1927,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1929,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add MAX_RETRIES safety cap for auto-heal CLI,https://github.com/niluferbagevi-gif/Sidar/pull/1929,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1935,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix Anthropic streaming test to await chat coroutine,https://github.com/niluferbagevi-gif/Sidar/pull/1935,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1940,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add coverage auto-heal retry loop to run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1940,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1941,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add autonomous recovery retries and emit coverage JSON for machine tooling,https://github.com/niluferbagevi-gif/Sidar/pull/1941,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1942,codex/review-autonomous_loop.sh-for-insights,UNCLEAR,EXCLUDE,fix(test): open only primary React coverage report in run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1942,"Stacked PR targets 'codex/review-autonomous_loop.sh-for-insights', not main; cannot inherit the main-based stale-PR conclusion."
1943,main,CLOSE_CANDIDATE,WOULD_CLOSE,Avoid opening duplicate React coverage reports in run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1943,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1944,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix duplicate frontend coverage report auto-open,https://github.com/niluferbagevi-gif/Sidar/pull/1944,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1945,main,CLOSE_CANDIDATE,WOULD_CLOSE,Normalize autonomous loop Python execution with uv,https://github.com/niluferbagevi-gif/Sidar/pull/1945,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1946,main,CLOSE_CANDIDATE,WOULD_CLOSE,chore(autonomous_loop): pipefail + script-dir cd + uv run python standardı,https://github.com/niluferbagevi-gif/Sidar/pull/1946,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1947,main,CLOSE_CANDIDATE,WOULD_CLOSE,chore(scripts): standardize autonomous_loop.sh and untrack .env.test,https://github.com/niluferbagevi-gif/Sidar/pull/1947,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1949,main,CLOSE_CANDIDATE,WOULD_CLOSE,"fix: collection errors, test isolation, and auto_heal false-positives",https://github.com/niluferbagevi-gif/Sidar/pull/1949,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1952,main,CLOSE_CANDIDATE,WOULD_CLOSE,Allow `.env.*.example` filenames to bypass forbidden-path filter,https://github.com/niluferbagevi-gif/Sidar/pull/1952,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1955,main,CLOSE_CANDIDATE,WOULD_CLOSE,test(e2e): isolate CLI subprocess from .env.test override,https://github.com/niluferbagevi-gif/Sidar/pull/1955,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1959,main,CLOSE_CANDIDATE,WOULD_CLOSE,docs: align agent operations guide with runtime architecture,https://github.com/niluferbagevi-gif/Sidar/pull/1959,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1961,main,CLOSE_CANDIDATE,WOULD_CLOSE,"docs: add detailed role definitions for Researcher, Poyraz and Coverage in AGENTS.md",https://github.com/niluferbagevi-gif/Sidar/pull/1961,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1962,main,CLOSE_CANDIDATE,WOULD_CLOSE,ci: Python 3.11'i tüm ortamlarda zorunlu kıl,https://github.com/niluferbagevi-gif/Sidar/pull/1962,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1963,main,CLOSE_CANDIDATE,WOULD_CLOSE,"docs: standardize Sidar naming, Qwen 2.5 Coder ve uv araç zinciri",https://github.com/niluferbagevi-gif/Sidar/pull/1963,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1964,main,CLOSE_CANDIDATE,WOULD_CLOSE,Standardize Sidar uv development guidance,https://github.com/niluferbagevi-gif/Sidar/pull/1964,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1972,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix: otonom döngüde 2 test arızası + ReviewerGate red sebebi,https://github.com/niluferbagevi-gif/Sidar/pull/1972,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1973,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix(github_upload): rollback'i ORIG_HEAD yerine HEAD~N ile yap,https://github.com/niluferbagevi-gif/Sidar/pull/1973,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1975,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix github_upload rollback to use HEAD~N and validate target ref,https://github.com/niluferbagevi-gif/Sidar/pull/1975,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1976,main,CLOSE_CANDIDATE,WOULD_CLOSE,Harden github_upload rollback and input validation (v2.2),https://github.com/niluferbagevi-gif/Sidar/pull/1976,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1977,main,CLOSE_CANDIDATE,WOULD_CLOSE,Skip autonomous loop when quality gate passes,https://github.com/niluferbagevi-gif/Sidar/pull/1977,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1979,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve autonomous coverage healing loop,https://github.com/niluferbagevi-gif/Sidar/pull/1979,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1983,main,SECURITY,EXCLUDE,fix(security): silence Bandit B324 on non-cryptographic SHA-1 digest,https://github.com/niluferbagevi-gif/Sidar/pull/1983,Security-sensitive change; mandatory human security review.
1984,main,SECURITY,EXCLUDE,fix(security): Bandit B324 SHA1 uyarısını gider (coverage_agent.py:818),https://github.com/niluferbagevi-gif/Sidar/pull/1984,Security-sensitive change; mandatory human security review.
1986,main,CLOSE_CANDIDATE,WOULD_CLOSE,Test başarısızlığını düzelt ve coverage'ı %100'e tamamla,https://github.com/niluferbagevi-gif/Sidar/pull/1986,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1987,main,CLOSE_CANDIDATE,WOULD_CLOSE,docs: clarify test runner usage,https://github.com/niluferbagevi-gif/Sidar/pull/1987,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1988,main,CLOSE_CANDIDATE,WOULD_CLOSE,Unify DB schema bootstrapping with Alembic; add SQLAlchemy models and access_policies migration,https://github.com/niluferbagevi-gif/Sidar/pull/1988,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1991,main,CLOSE_CANDIDATE,WOULD_CLOSE,"Manage PostgreSQL schema via Alembic; add SQLAlchemy models, migrations, and tests",https://github.com/niluferbagevi-gif/Sidar/pull/1991,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1993,main,CLOSE_CANDIDATE,WOULD_CLOSE,Harden deterministic uv installs and enforce secure env/docker defaults,https://github.com/niluferbagevi-gif/Sidar/pull/1993,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1997,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix mypy errors and make packaged asset resolution resilient,https://github.com/niluferbagevi-gif/Sidar/pull/1997,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1998,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix mypy typing issues in assets and migrations; adjust doctor/CLI/docker/readme for QA,https://github.com/niluferbagevi-gif/Sidar/pull/1998,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2000,main,CLOSE_CANDIDATE,WOULD_CLOSE,Harden alembic config and align docs with asyncpg driver,https://github.com/niluferbagevi-gif/Sidar/pull/2000,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2002,main,CLOSE_CANDIDATE,WOULD_CLOSE,"Dev Container: pin Python 3.11, add host preflight, and improve setup scripts",https://github.com/niluferbagevi-gif/Sidar/pull/2002,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2009,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add devcontainer uv sync fingerprint to skip redundant `uv sync` and a force flag,https://github.com/niluferbagevi-gif/Sidar/pull/2009,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2017,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix RAG entity graph typing,https://github.com/niluferbagevi-gif/Sidar/pull/2017,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2020,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix(code_manager): docker CLI fallback honors shutil.which(None),https://github.com/niluferbagevi-gif/Sidar/pull/2020,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2022,main,CLOSE_CANDIDATE,WOULD_CLOSE,Address code review feedback: docker CLI fallback + OperationsQaPanel act() warnings,https://github.com/niluferbagevi-gif/Sidar/pull/2022,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2029,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add Zone.Identifier cleanup and coverage ratchet scripts; integrate into test runner,https://github.com/niluferbagevi-gif/Sidar/pull/2029,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2033,main,CLOSE_CANDIDATE,WOULD_CLOSE,WSL2: Docker Desktop tespiti + otomatik recovery iyileştirmesi,https://github.com/niluferbagevi-gif/Sidar/pull/2033,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2042,main,SECURITY,EXCLUDE,Sandbox: sidar-ai test imajını otomatik tespit et,https://github.com/niluferbagevi-gif/Sidar/pull/2042,Security-sensitive change; mandatory human security review.
2047,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve auto-heal pytest log handling and diagnostics,https://github.com/niluferbagevi-gif/Sidar/pull/2047,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2050,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix(agent): allow list values in self-heal execution dict,https://github.com/niluferbagevi-gif/Sidar/pull/2050,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2051,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix typing for autonomous self-heal execution payload,https://github.com/niluferbagevi-gif/Sidar/pull/2051,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2052,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix self-heal execution typing,https://github.com/niluferbagevi-gif/Sidar/pull/2052,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2053,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix self-heal execution typing,https://github.com/niluferbagevi-gif/Sidar/pull/2053,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2055,main,CLOSE_CANDIDATE,WOULD_CLOSE,Enable benchmark compare by default; add autonomous remediation modes and harden shell/git/plugin safety,https://github.com/niluferbagevi-gif/Sidar/pull/2055,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2065,main,CLOSE_CANDIDATE,WOULD_CLOSE,"CLI banner: pgvector auth/degraded-mode awareness, dedupe doctor commands",https://github.com/niluferbagevi-gif/Sidar/pull/2065,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2066,main,SECURITY,EXCLUDE,Improve Postgres auth recovery guidance and add safe password sync helper,https://github.com/niluferbagevi-gif/Sidar/pull/2066,Security-sensitive change; mandatory human security review.
2067,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add POSTGRES_HOST to env examples and derive DATABASE_URL from POSTGRES_*,https://github.com/niluferbagevi-gif/Sidar/pull/2067,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2068,main,CLOSE_CANDIDATE,WOULD_CLOSE,Normalize boolean env flags to true/false and add truthy parser,https://github.com/niluferbagevi-gif/Sidar/pull/2068,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2069,codex/review-and-improve-.env-configuration,UNCLEAR,EXCLUDE,Add support for ~/.sidar_keys.env and provide example template; expose Slack app token and Meta social settings,https://github.com/niluferbagevi-gif/Sidar/pull/2069,"Stacked PR targets 'codex/review-and-improve-.env-configuration', not main; cannot inherit the main-based stale-PR conclusion."
2071,main,CLOSE_CANDIDATE,WOULD_CLOSE,install: import SIDAR_WEB_HOST and TRUSTED_PROXIES from .sidar_keys.env,https://github.com/niluferbagevi-gif/Sidar/pull/2071,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2073,main,CLOSE_CANDIDATE,WOULD_CLOSE,Reach 100% coverage for centralized config module,https://github.com/niluferbagevi-gif/Sidar/pull/2073,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2075,main,CLOSE_CANDIDATE,WOULD_CLOSE,Modularize Sidar installer components,https://github.com/niluferbagevi-gif/Sidar/pull/2075,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2077,codex/refactor-install_sidar.sh-into-modules,SECURITY,EXCLUDE,Harden installer weak-secret handling and centralize known-weak denylist,https://github.com/niluferbagevi-gif/Sidar/pull/2077,Security-sensitive stacked PR with a non-main base; SECURITY takes precedence over UNCLEAR and mandatory human review is required.
2078,main,SECURITY,EXCLUDE,Harden installer weak secret detection,https://github.com/niluferbagevi-gif/Sidar/pull/2078,Security-sensitive change; mandatory human security review.
2081,main,CLOSE_CANDIDATE,WOULD_CLOSE,Publish bundled installer and add robust single-file fallback for install_sidar.sh,https://github.com/niluferbagevi-gif/Sidar/pull/2081,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2083,main,CLOSE_CANDIDATE,WOULD_CLOSE,install_sidar: doğru sürüm banner'ı + geçici compose pull hatalarında retry,https://github.com/niluferbagevi-gif/Sidar/pull/2083,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2084,main,CLOSE_CANDIDATE,WOULD_CLOSE,Build & publish standalone `install_sidar.sh` on release tags; modular installer dynamic-download fallback and tests,https://github.com/niluferbagevi-gif/Sidar/pull/2084,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2085,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix: kalite kapısı uyarılarını gider (mypy + bandit),https://github.com/niluferbagevi-gif/Sidar/pull/2085,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2088,main,CLOSE_CANDIDATE,WOULD_CLOSE,RAG: proje belgelerini otomatik seed eden bootstrap eklendi,https://github.com/niluferbagevi-gif/Sidar/pull/2088,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2094,main,CLOSE_CANDIDATE,WOULD_CLOSE,Sync generated secrets to env variants,https://github.com/niluferbagevi-gif/Sidar/pull/2094,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2096,main,CLOSE_CANDIDATE,WOULD_CLOSE,Convert .env.advanced into a tracked .example template,https://github.com/niluferbagevi-gif/Sidar/pull/2096,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2097,main,CLOSE_CANDIDATE,WOULD_CLOSE,Make advanced env a generated local file,https://github.com/niluferbagevi-gif/Sidar/pull/2097,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2103,main,CLOSE_CANDIDATE,WOULD_CLOSE,Apply auto-fix env snapshot from sync subprocess,https://github.com/niluferbagevi-gif/Sidar/pull/2103,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2107,main,CLOSE_CANDIDATE,WOULD_CLOSE,Derive PostgreSQL DSNs from POSTGRES_* for doctor checks and add `--prefer-derived` to sync script,https://github.com/niluferbagevi-gif/Sidar/pull/2107,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2113,main,SECURITY,EXCLUDE,Use POSTGRES_USER/DB as admin defaults in sync_postgres_password,https://github.com/niluferbagevi-gif/Sidar/pull/2113,Security-sensitive change; mandatory human security review.
2114,main,SECURITY,EXCLUDE,Use in-place PostgreSQL password rotation,https://github.com/niluferbagevi-gif/Sidar/pull/2114,Security-sensitive change; mandatory human security review.
2115,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix smoke test dotenv database URL loading,https://github.com/niluferbagevi-gif/Sidar/pull/2115,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2116,main,CLOSE_CANDIDATE,WOULD_CLOSE,Use app config for smoke infra URLs,https://github.com/niluferbagevi-gif/Sidar/pull/2116,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2121,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add post-integration `docker ps` verification to WSL Docker CLI warning,https://github.com/niluferbagevi-gif/Sidar/pull/2121,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2127,main,CLOSE_CANDIDATE,WOULD_CLOSE,Unify alembic log format with Sidar's canonical layout,https://github.com/niluferbagevi-gif/Sidar/pull/2127,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2130,main,CLOSE_CANDIDATE,WOULD_CLOSE,Refactor auth and RAG doc endpoints into modular routers,https://github.com/niluferbagevi-gif/Sidar/pull/2130,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2146,main,CLOSE_CANDIDATE,WOULD_CLOSE,Harden WSL integration preflight against UTF-16 output and non-fatal PowerShell failures,https://github.com/niluferbagevi-gif/Sidar/pull/2146,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2152,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add explicit tenacity dependency,https://github.com/niluferbagevi-gif/Sidar/pull/2152,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2158,main,CLOSE_CANDIDATE,WOULD_CLOSE,fix(installer): add missing debug logger,https://github.com/niluferbagevi-gif/Sidar/pull/2158,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2167,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve single-file installer bootstrap flow,https://github.com/niluferbagevi-gif/Sidar/pull/2167,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2168,main,CLOSE_CANDIDATE,WOULD_CLOSE,Switch single-file installer fallback to bootstrap repo clone,https://github.com/niluferbagevi-gif/Sidar/pull/2168,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2169,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve installer bootstrap clone and fallback flow,https://github.com/niluferbagevi-gif/Sidar/pull/2169,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2170,main,CLOSE_CANDIDATE,WOULD_CLOSE,installer: bootstrap clone + re-exec for single-file installs,https://github.com/niluferbagevi-gif/Sidar/pull/2170,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2175,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix install_sidar bootstrap manifest validation order,https://github.com/niluferbagevi-gif/Sidar/pull/2175,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2176,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix invalid escape sequence in install python env smoke test,https://github.com/niluferbagevi-gif/Sidar/pull/2176,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2180,main,CLOSE_CANDIDATE,WOULD_CLOSE,Allow native Docker daemon startup on WSL2 in installer,https://github.com/niluferbagevi-gif/Sidar/pull/2180,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2184,main,CLOSE_CANDIDATE,WOULD_CLOSE,"Docker runtime permission fixes, RAG seed/run tweaks, and minor messaging updates",https://github.com/niluferbagevi-gif/Sidar/pull/2184,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2188,main,CLOSE_CANDIDATE,WOULD_CLOSE,Remove conflicting `--extra dev` when using `--all-extras` in `uv sync`,https://github.com/niluferbagevi-gif/Sidar/pull/2188,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
2191,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fail fast when docker-desktop WSL backend is missing,https://github.com/niluferbagevi-gif/Sidar/pull/2191,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
