number,manifest_category,manifest_action,base,title,url,live_state,merged,closed_at,updated_at,rationale_comment_author,rationale_comment_created_at,rationale_comment_url,close_actor,close_event_created_at,reconciliation_result,anomaly_reason
1785,CLOSE_CANDIDATE,WOULD_CLOSE,main,run_tests: auto-fix Ruff findings before quality gate checks,https://github.com/niluferbagevi-gif/Sidar/pull/1785,CLOSED,false,2026-09-16T23:38:46Z,2026-09-16T23:38:46Z,niluferbagevi-gif,2026-09-16T23:38:45Z,https://github.com/niluferbagevi-gif/Sidar/pull/1785#issuecomment-5706153974,niluferbagevi-gif,2026-09-16T23:38:46Z,CLOSED_VERIFIED,
1795,CLOSE_CANDIDATE,WOULD_CLOSE,main,Remove mypy remediation attempt cap and add 99% success heuristic,https://github.com/niluferbagevi-gif/Sidar/pull/1795,CLOSED,false,2026-09-16T23:38:50Z,2026-09-16T23:38:50Z,niluferbagevi-gif,2026-09-16T23:38:49Z,https://github.com/niluferbagevi-gif/Sidar/pull/1795#issuecomment-5706154734,niluferbagevi-gif,2026-09-16T23:38:50Z,CLOSED_VERIFIED,
1796,CLOSE_CANDIDATE,WOULD_CLOSE,main,Relax mypy remediation attempts and add 99% success threshold,https://github.com/niluferbagevi-gif/Sidar/pull/1796,CLOSED,false,2026-09-16T23:38:52Z,2026-09-16T23:38:52Z,niluferbagevi-gif,2026-09-16T23:38:52Z,https://github.com/niluferbagevi-gif/Sidar/pull/1796#issuecomment-5706155326,niluferbagevi-gif,2026-09-16T23:38:53Z,CLOSED_VERIFIED,
1847,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix mypy attr-defined error in supervisor delegation compatibility shim,https://github.com/niluferbagevi-gif/Sidar/pull/1847,CLOSED,false,2026-09-16T23:38:55Z,2026-09-16T23:38:55Z,niluferbagevi-gif,2026-09-16T23:38:55Z,https://github.com/niluferbagevi-gif/Sidar/pull/1847#issuecomment-5706155908,niluferbagevi-gif,2026-09-16T23:38:55Z,CLOSED_VERIFIED,
1853,CLOSE_CANDIDATE,WOULD_CLOSE,main,Embed mypy quick-fix guidance into self-heal retry diagnosis,https://github.com/niluferbagevi-gif/Sidar/pull/1853,CLOSED,false,2026-09-16T23:38:59Z,2026-09-16T23:38:59Z,niluferbagevi-gif,2026-09-16T23:38:58Z,https://github.com/niluferbagevi-gif/Sidar/pull/1853#issuecomment-5706156458,niluferbagevi-gif,2026-09-16T23:38:59Z,CLOSED_VERIFIED,
1858,CLOSE_CANDIDATE,WOULD_CLOSE,main,Suppress Bandit false-positives with targeted `# nosec` annotations,https://github.com/niluferbagevi-gif/Sidar/pull/1858,CLOSED,false,2026-09-16T23:39:02Z,2026-09-16T23:39:02Z,niluferbagevi-gif,2026-09-16T23:39:01Z,https://github.com/niluferbagevi-gif/Sidar/pull/1858#issuecomment-5706156897,niluferbagevi-gif,2026-09-16T23:39:02Z,CLOSED_VERIFIED,
1861,SECURITY,EXCLUDE,main,Fix pip-audit invocation in run_tests security gate,https://github.com/niluferbagevi-gif/Sidar/pull/1861,CLOSED,false,2026-09-16T23:39:05Z,2026-09-16T23:39:05Z,niluferbagevi-gif,2026-09-16T23:39:04Z,https://github.com/niluferbagevi-gif/Sidar/pull/1861#issuecomment-5706157442,niluferbagevi-gif,2026-09-16T23:39:05Z,EXCLUSION_ANOMALY_CLOSED,excluded category was closed without merge
1863,CLOSE_CANDIDATE,WOULD_CLOSE,main,Relax pydantic-settings constraint to resolve uv lock dependency conflict,https://github.com/niluferbagevi-gif/Sidar/pull/1863,CLOSED,false,2026-09-16T23:39:08Z,2026-09-16T23:39:08Z,niluferbagevi-gif,2026-09-16T23:39:07Z,https://github.com/niluferbagevi-gif/Sidar/pull/1863#issuecomment-5706158131,niluferbagevi-gif,2026-09-16T23:39:08Z,CLOSED_VERIFIED,
1864,CLOSE_CANDIDATE,WOULD_CLOSE,main,fix(uv): restrict lock resolution to Linux targets,https://github.com/niluferbagevi-gif/Sidar/pull/1864,CLOSED,false,2026-09-16T23:39:11Z,2026-09-16T23:39:11Z,niluferbagevi-gif,2026-09-16T23:39:10Z,https://github.com/niluferbagevi-gif/Sidar/pull/1864#issuecomment-5706158534,niluferbagevi-gif,2026-09-16T23:39:11Z,CLOSED_VERIFIED,
1865,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix installer dependency resolution failure in uv lock,https://github.com/niluferbagevi-gif/Sidar/pull/1865,CLOSED,false,2026-09-16T23:39:13Z,2026-09-16T23:39:13Z,niluferbagevi-gif,2026-09-16T23:39:13Z,https://github.com/niluferbagevi-gif/Sidar/pull/1865#issuecomment-5706159031,niluferbagevi-gif,2026-09-16T23:39:13Z,CLOSED_VERIFIED,
1866,CLOSE_CANDIDATE,WOULD_CLOSE,main,Relax dependency constraints for resolver compatibility,https://github.com/niluferbagevi-gif/Sidar/pull/1866,CLOSED,false,2026-09-16T23:39:21Z,2026-09-16T23:39:22Z,niluferbagevi-gif,2026-09-16T23:39:21Z,https://github.com/niluferbagevi-gif/Sidar/pull/1866#issuecomment-5706160572,niluferbagevi-gif,2026-09-16T23:39:22Z,CLOSED_VERIFIED,
1869,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix mypy error for LoRA trainable parameter logging,https://github.com/niluferbagevi-gif/Sidar/pull/1869,CLOSED,false,2026-09-16T23:39:24Z,2026-09-16T23:39:24Z,niluferbagevi-gif,2026-09-16T23:39:24Z,https://github.com/niluferbagevi-gif/Sidar/pull/1869#issuecomment-5706160978,niluferbagevi-gif,2026-09-16T23:39:25Z,CLOSED_VERIFIED,
1871,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix mypy override errors in CoderAgent and ReviewerAgent run_task signatures,https://github.com/niluferbagevi-gif/Sidar/pull/1871,CLOSED,false,2026-09-16T23:39:27Z,2026-09-16T23:39:27Z,niluferbagevi-gif,2026-09-16T23:39:27Z,https://github.com/niluferbagevi-gif/Sidar/pull/1871#issuecomment-5706161435,niluferbagevi-gif,2026-09-16T23:39:27Z,CLOSED_VERIFIED,
1873,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix async agent instance mock in root web server tests,https://github.com/niluferbagevi-gif/Sidar/pull/1873,CLOSED,false,2026-09-16T23:39:30Z,2026-09-16T23:39:30Z,niluferbagevi-gif,2026-09-16T23:39:30Z,https://github.com/niluferbagevi-gif/Sidar/pull/1873#issuecomment-5706161817,niluferbagevi-gif,2026-09-16T23:39:31Z,CLOSED_VERIFIED,
1887,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix uv lock dependency conflicts in all extras,https://github.com/niluferbagevi-gif/Sidar/pull/1887,CLOSED,false,2026-09-16T23:39:33Z,2026-09-16T23:39:33Z,niluferbagevi-gif,2026-09-16T23:39:33Z,https://github.com/niluferbagevi-gif/Sidar/pull/1887#issuecomment-5706162166,niluferbagevi-gif,2026-09-16T23:39:33Z,CLOSED_VERIFIED,
1913,CLOSE_CANDIDATE,WOULD_CLOSE,main,Ignore benchmark artifacts by adding .benchmarks/ to .gitignore,https://github.com/niluferbagevi-gif/Sidar/pull/1913,CLOSED,false,2026-09-16T23:39:36Z,2026-09-16T23:39:36Z,niluferbagevi-gif,2026-09-16T23:39:35Z,https://github.com/niluferbagevi-gif/Sidar/pull/1913#issuecomment-5706162476,niluferbagevi-gif,2026-09-16T23:39:36Z,CLOSED_VERIFIED,
1914,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add user-confirmed GitHub upload step to installer,https://github.com/niluferbagevi-gif/Sidar/pull/1914,CLOSED,false,2026-09-16T23:39:39Z,2026-09-16T23:39:39Z,niluferbagevi-gif,2026-09-16T23:39:38Z,https://github.com/niluferbagevi-gif/Sidar/pull/1914#issuecomment-5706162940,niluferbagevi-gif,2026-09-16T23:39:39Z,CLOSED_VERIFIED,
1919,CLOSE_CANDIDATE,WOULD_CLOSE,main,docs: add pytest startup troubleshooting to README,https://github.com/niluferbagevi-gif/Sidar/pull/1919,CLOSED,false,2026-09-16T23:39:42Z,2026-09-16T23:39:42Z,niluferbagevi-gif,2026-09-16T23:39:41Z,https://github.com/niluferbagevi-gif/Sidar/pull/1919#issuecomment-5706163383,niluferbagevi-gif,2026-09-16T23:39:42Z,CLOSED_VERIFIED,
1921,SECURITY,EXCLUDE,main,Fix token-authenticated push by resolving origin URL after remote setup,https://github.com/niluferbagevi-gif/Sidar/pull/1921,CLOSED,false,2026-09-16T23:39:45Z,2026-09-16T23:39:45Z,niluferbagevi-gif,2026-09-16T23:39:44Z,https://github.com/niluferbagevi-gif/Sidar/pull/1921#issuecomment-5706163993,niluferbagevi-gif,2026-09-16T23:39:45Z,EXCLUSION_ANOMALY_CLOSED,excluded category was closed without merge
1922,CLOSE_CANDIDATE,WOULD_CLOSE,main,Improve github_upload 403 auth error guidance,https://github.com/niluferbagevi-gif/Sidar/pull/1922,CLOSED,false,2026-09-16T23:39:53Z,2026-09-16T23:39:53Z,niluferbagevi-gif,2026-09-16T23:39:52Z,https://github.com/niluferbagevi-gif/Sidar/pull/1922#issuecomment-5706165452,niluferbagevi-gif,2026-09-16T23:39:53Z,CLOSED_VERIFIED,
1924,CLOSE_CANDIDATE,WOULD_CLOSE,main,feat: VS Code otonom test başlatıcı ve venv otomatik aktivasyon,https://github.com/niluferbagevi-gif/Sidar/pull/1924,CLOSED,false,2026-09-16T23:39:56Z,2026-09-16T23:39:56Z,niluferbagevi-gif,2026-09-16T23:39:55Z,https://github.com/niluferbagevi-gif/Sidar/pull/1924#issuecomment-5706165982,niluferbagevi-gif,2026-09-16T23:39:56Z,CLOSED_VERIFIED,
1925,CLOSE_CANDIDATE,WOULD_CLOSE,main,Remove optional GitHub upload step from installer flow,https://github.com/niluferbagevi-gif/Sidar/pull/1925,CLOSED,false,2026-09-16T23:39:59Z,2026-09-16T23:39:59Z,niluferbagevi-gif,2026-09-16T23:39:58Z,https://github.com/niluferbagevi-gif/Sidar/pull/1925#issuecomment-5706166701,niluferbagevi-gif,2026-09-16T23:39:59Z,CLOSED_VERIFIED,
1926,CLOSE_CANDIDATE,WOULD_CLOSE,main,VS Code otonom görevine github_upload adımı eklendi,https://github.com/niluferbagevi-gif/Sidar/pull/1926,CLOSED,false,2026-09-16T23:40:02Z,2026-09-16T23:40:02Z,niluferbagevi-gif,2026-09-16T23:40:01Z,https://github.com/niluferbagevi-gif/Sidar/pull/1926#issuecomment-5706167296,niluferbagevi-gif,2026-09-16T23:40:02Z,CLOSED_VERIFIED,
1927,CLOSE_CANDIDATE,WOULD_CLOSE,main,Run GitHub upload in VS Code tasks before tests,https://github.com/niluferbagevi-gif/Sidar/pull/1927,CLOSED,false,2026-09-16T23:40:04Z,2026-09-16T23:40:04Z,niluferbagevi-gif,2026-09-16T23:40:04Z,https://github.com/niluferbagevi-gif/Sidar/pull/1927#issuecomment-5706167929,niluferbagevi-gif,2026-09-16T23:40:05Z,CLOSED_VERIFIED,
1929,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add MAX_RETRIES safety cap for auto-heal CLI,https://github.com/niluferbagevi-gif/Sidar/pull/1929,OPEN,false,,2026-08-23T02:33:16Z,,,,,,SKIPPED_OPEN,
1935,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix Anthropic streaming test to await chat coroutine,https://github.com/niluferbagevi-gif/Sidar/pull/1935,CLOSED,false,2026-09-16T23:40:07Z,2026-09-16T23:40:07Z,niluferbagevi-gif,2026-09-16T23:40:06Z,https://github.com/niluferbagevi-gif/Sidar/pull/1935#issuecomment-5706168483,niluferbagevi-gif,2026-09-16T23:40:07Z,CLOSED_VERIFIED,
1940,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add coverage auto-heal retry loop to run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1940,OPEN,false,,2026-08-23T02:33:16Z,,,,,,SKIPPED_OPEN,
1941,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add autonomous recovery retries and emit coverage JSON for machine tooling,https://github.com/niluferbagevi-gif/Sidar/pull/1941,OPEN,false,,2026-08-23T02:33:17Z,,,,,,SKIPPED_OPEN,
1942,UNCLEAR,EXCLUDE,codex/review-autonomous_loop.sh-for-insights,fix(test): open only primary React coverage report in run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1942,CLOSED,false,2026-09-16T23:40:10Z,2026-09-16T23:40:10Z,niluferbagevi-gif,2026-09-16T23:40:09Z,https://github.com/niluferbagevi-gif/Sidar/pull/1942#issuecomment-5706168885,niluferbagevi-gif,2026-09-16T23:40:10Z,EXCLUSION_ANOMALY_CLOSED,excluded category was closed without merge
1943,CLOSE_CANDIDATE,WOULD_CLOSE,main,Avoid opening duplicate React coverage reports in run_tests.sh,https://github.com/niluferbagevi-gif/Sidar/pull/1943,CLOSED,false,2026-09-16T23:40:12Z,2026-09-16T23:40:12Z,niluferbagevi-gif,2026-09-16T23:40:12Z,https://github.com/niluferbagevi-gif/Sidar/pull/1943#issuecomment-5706169456,niluferbagevi-gif,2026-09-16T23:40:12Z,CLOSED_VERIFIED,
1944,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix duplicate frontend coverage report auto-open,https://github.com/niluferbagevi-gif/Sidar/pull/1944,CLOSED,false,2026-09-16T23:40:15Z,2026-09-16T23:40:15Z,niluferbagevi-gif,2026-09-16T23:40:14Z,https://github.com/niluferbagevi-gif/Sidar/pull/1944#issuecomment-5706170053,niluferbagevi-gif,2026-09-16T23:40:15Z,CLOSED_VERIFIED,
1945,CLOSE_CANDIDATE,WOULD_CLOSE,main,Normalize autonomous loop Python execution with uv,https://github.com/niluferbagevi-gif/Sidar/pull/1945,CLOSED,false,2026-09-16T23:40:22Z,2026-09-16T23:40:22Z,niluferbagevi-gif,2026-09-16T23:40:21Z,https://github.com/niluferbagevi-gif/Sidar/pull/1945#issuecomment-5706171526,niluferbagevi-gif,2026-09-16T23:40:22Z,CLOSED_VERIFIED,
1946,CLOSE_CANDIDATE,WOULD_CLOSE,main,chore(autonomous_loop): pipefail + script-dir cd + uv run python standardı,https://github.com/niluferbagevi-gif/Sidar/pull/1946,CLOSED,false,2026-09-16T23:40:25Z,2026-09-16T23:40:25Z,niluferbagevi-gif,2026-09-16T23:40:24Z,https://github.com/niluferbagevi-gif/Sidar/pull/1946#issuecomment-5706172117,niluferbagevi-gif,2026-09-16T23:40:25Z,CLOSED_VERIFIED,
1947,CLOSE_CANDIDATE,WOULD_CLOSE,main,chore(scripts): standardize autonomous_loop.sh and untrack .env.test,https://github.com/niluferbagevi-gif/Sidar/pull/1947,CLOSED,false,2026-09-16T23:40:28Z,2026-09-16T23:40:28Z,niluferbagevi-gif,2026-09-16T23:40:27Z,https://github.com/niluferbagevi-gif/Sidar/pull/1947#issuecomment-5706172717,niluferbagevi-gif,2026-09-16T23:40:28Z,CLOSED_VERIFIED,
1949,CLOSE_CANDIDATE,WOULD_CLOSE,main,"fix: collection errors, test isolation, and auto_heal false-positives",https://github.com/niluferbagevi-gif/Sidar/pull/1949,CLOSED,false,2026-09-16T23:40:31Z,2026-09-16T23:40:31Z,niluferbagevi-gif,2026-09-16T23:40:30Z,https://github.com/niluferbagevi-gif/Sidar/pull/1949#issuecomment-5706173346,niluferbagevi-gif,2026-09-16T23:40:31Z,CLOSED_VERIFIED,
1952,CLOSE_CANDIDATE,WOULD_CLOSE,main,Allow `.env.*.example` filenames to bypass forbidden-path filter,https://github.com/niluferbagevi-gif/Sidar/pull/1952,CLOSED,false,2026-09-16T23:40:34Z,2026-09-16T23:40:34Z,niluferbagevi-gif,2026-09-16T23:40:33Z,https://github.com/niluferbagevi-gif/Sidar/pull/1952#issuecomment-5706173956,niluferbagevi-gif,2026-09-16T23:40:34Z,CLOSED_VERIFIED,
1955,CLOSE_CANDIDATE,WOULD_CLOSE,main,test(e2e): isolate CLI subprocess from .env.test override,https://github.com/niluferbagevi-gif/Sidar/pull/1955,CLOSED,false,2026-09-16T23:40:37Z,2026-09-16T23:40:37Z,niluferbagevi-gif,2026-09-16T23:40:36Z,https://github.com/niluferbagevi-gif/Sidar/pull/1955#issuecomment-5706174452,niluferbagevi-gif,2026-09-16T23:40:37Z,CLOSED_VERIFIED,
1959,CLOSE_CANDIDATE,WOULD_CLOSE,main,docs: align agent operations guide with runtime architecture,https://github.com/niluferbagevi-gif/Sidar/pull/1959,CLOSED,false,2026-09-16T23:40:40Z,2026-09-16T23:40:40Z,niluferbagevi-gif,2026-09-16T23:40:39Z,https://github.com/niluferbagevi-gif/Sidar/pull/1959#issuecomment-5706174997,niluferbagevi-gif,2026-09-16T23:40:40Z,CLOSED_VERIFIED,
1961,CLOSE_CANDIDATE,WOULD_CLOSE,main,"docs: add detailed role definitions for Researcher, Poyraz and Coverage in AGENTS.md",https://github.com/niluferbagevi-gif/Sidar/pull/1961,CLOSED,false,2026-09-16T23:40:42Z,2026-09-16T23:40:42Z,niluferbagevi-gif,2026-09-16T23:40:42Z,https://github.com/niluferbagevi-gif/Sidar/pull/1961#issuecomment-5706175434,niluferbagevi-gif,2026-09-16T23:40:42Z,CLOSED_VERIFIED,
1962,CLOSE_CANDIDATE,WOULD_CLOSE,main,ci: Python 3.11'i tüm ortamlarda zorunlu kıl,https://github.com/niluferbagevi-gif/Sidar/pull/1962,CLOSED,false,2026-09-16T23:40:45Z,2026-09-16T23:40:45Z,niluferbagevi-gif,2026-09-16T23:40:45Z,https://github.com/niluferbagevi-gif/Sidar/pull/1962#issuecomment-5706175921,niluferbagevi-gif,2026-09-16T23:40:45Z,CLOSED_VERIFIED,
1963,CLOSE_CANDIDATE,WOULD_CLOSE,main,"docs: standardize Sidar naming, Qwen 2.5 Coder ve uv araç zinciri",https://github.com/niluferbagevi-gif/Sidar/pull/1963,CLOSED,false,2026-09-16T23:40:48Z,2026-09-16T23:40:48Z,niluferbagevi-gif,2026-09-16T23:40:47Z,https://github.com/niluferbagevi-gif/Sidar/pull/1963#issuecomment-5706176341,niluferbagevi-gif,2026-09-16T23:40:48Z,CLOSED_VERIFIED,
1964,CLOSE_CANDIDATE,WOULD_CLOSE,main,Standardize Sidar uv development guidance,https://github.com/niluferbagevi-gif/Sidar/pull/1964,CLOSED,false,2026-09-16T23:40:51Z,2026-09-16T23:40:51Z,niluferbagevi-gif,2026-09-16T23:40:50Z,https://github.com/niluferbagevi-gif/Sidar/pull/1964#issuecomment-5706176780,niluferbagevi-gif,2026-09-16T23:40:51Z,CLOSED_VERIFIED,
1972,CLOSE_CANDIDATE,WOULD_CLOSE,main,fix: otonom döngüde 2 test arızası + ReviewerGate red sebebi,https://github.com/niluferbagevi-gif/Sidar/pull/1972,CLOSED,false,2026-09-16T23:38:27Z,2026-09-16T23:38:27Z,niluferbagevi-gif,2026-09-16T23:38:11Z,https://github.com/niluferbagevi-gif/Sidar/pull/1972#issuecomment-5706147581,niluferbagevi-gif,2026-09-16T23:38:27Z,CLOSED_VERIFIED,
1973,CLOSE_CANDIDATE,WOULD_CLOSE,main,fix(github_upload): rollback'i ORIG_HEAD yerine HEAD~N ile yap,https://github.com/niluferbagevi-gif/Sidar/pull/1973,CLOSED,false,2026-09-16T23:38:28Z,2026-09-16T23:38:28Z,niluferbagevi-gif,2026-09-16T23:38:13Z,https://github.com/niluferbagevi-gif/Sidar/pull/1973#issuecomment-5706147871,niluferbagevi-gif,2026-09-16T23:38:29Z,CLOSED_VERIFIED,
1975,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix github_upload rollback to use HEAD~N and validate target ref,https://github.com/niluferbagevi-gif/Sidar/pull/1975,CLOSED,false,2026-09-16T23:38:30Z,2026-09-16T23:38:30Z,niluferbagevi-gif,2026-09-16T23:38:15Z,https://github.com/niluferbagevi-gif/Sidar/pull/1975#issuecomment-5706148188,niluferbagevi-gif,2026-09-16T23:38:30Z,CLOSED_VERIFIED,
1976,CLOSE_CANDIDATE,WOULD_CLOSE,main,Harden github_upload rollback and input validation (v2.2),https://github.com/niluferbagevi-gif/Sidar/pull/1976,CLOSED,false,2026-09-16T23:38:31Z,2026-09-16T23:38:31Z,niluferbagevi-gif,2026-09-16T23:38:17Z,https://github.com/niluferbagevi-gif/Sidar/pull/1976#issuecomment-5706148571,niluferbagevi-gif,2026-09-16T23:38:31Z,CLOSED_VERIFIED,
1977,CLOSE_CANDIDATE,WOULD_CLOSE,main,Skip autonomous loop when quality gate passes,https://github.com/niluferbagevi-gif/Sidar/pull/1977,CLOSED,false,2026-09-16T23:38:32Z,2026-09-16T23:38:32Z,niluferbagevi-gif,2026-09-16T23:38:19Z,https://github.com/niluferbagevi-gif/Sidar/pull/1977#issuecomment-5706149081,niluferbagevi-gif,2026-09-16T23:38:32Z,CLOSED_VERIFIED,
1979,CLOSE_CANDIDATE,WOULD_CLOSE,main,Improve autonomous coverage healing loop,https://github.com/niluferbagevi-gif/Sidar/pull/1979,CLOSED,false,2026-09-16T23:38:33Z,2026-09-16T23:38:33Z,niluferbagevi-gif,2026-09-16T23:38:21Z,https://github.com/niluferbagevi-gif/Sidar/pull/1979#issuecomment-5706149434,niluferbagevi-gif,2026-09-16T23:38:33Z,CLOSED_VERIFIED,
1983,SECURITY,EXCLUDE,main,fix(security): silence Bandit B324 on non-cryptographic SHA-1 digest,https://github.com/niluferbagevi-gif/Sidar/pull/1983,CLOSED,false,2026-09-16T23:38:34Z,2026-09-16T23:38:34Z,niluferbagevi-gif,2026-09-16T23:38:23Z,https://github.com/niluferbagevi-gif/Sidar/pull/1983#issuecomment-5706149877,niluferbagevi-gif,2026-09-16T23:38:35Z,EXCLUSION_ANOMALY_CLOSED,excluded category was closed without merge
1984,SECURITY,EXCLUDE,main,fix(security): Bandit B324 SHA1 uyarısını gider (coverage_agent.py:818),https://github.com/niluferbagevi-gif/Sidar/pull/1984,CLOSED,false,2026-09-16T23:39:00Z,2026-09-16T23:39:00Z,niluferbagevi-gif,2026-09-16T23:38:42Z,https://github.com/niluferbagevi-gif/Sidar/pull/1984#issuecomment-5706153400,niluferbagevi-gif,2026-09-16T23:39:00Z,EXCLUSION_ANOMALY_CLOSED,excluded category was closed without merge
1986,CLOSE_CANDIDATE,WOULD_CLOSE,main,Test başarısızlığını düzelt ve coverage'ı %100'e tamamla,https://github.com/niluferbagevi-gif/Sidar/pull/1986,CLOSED,false,2026-09-16T23:39:01Z,2026-09-16T23:39:01Z,niluferbagevi-gif,2026-09-16T23:38:45Z,https://github.com/niluferbagevi-gif/Sidar/pull/1986#issuecomment-5706153939,niluferbagevi-gif,2026-09-16T23:39:01Z,CLOSED_VERIFIED,
